"42","Land","ZHAO Y", "2004", "TRANSP RES PT B-METHODOL","ISI000223259300002","THE RANDOM-UTILITY-BASED MULTIREGIONAL INPUT-OUTPUT MODEL: SOLUTION EXISTENCE AND UNIQUENESS","A NUMBER OF OPERATIONAL LAND USE-TRANSPORTATION MODELS MAKE USE OF SPATIAL INPUT-OUTPUT (SIO) MODELS, SOME OF WHICH ARE BASED ON RANDOM-UTILITY THEORY. THE RANDOM-UTILITY-BASED MULTIREGIONAL INPUT-OUTPUT (RUBMRIO) MODEL HAS BEEN SOLVED IN PRACTICE BY ITERATIVELY APPLYING A SET OF EQUATIONS. EACH OF THE MODEL EQUATIONS DESCRIBES RELATIONSHIPS AMONG KEY MODEL VARIABLES. THIS PAPER EXAMINES THE EXISTENCE AND UNIQUENESS OF THE RUBMRIO SOLUTION, WHICH REPRESENTS THE SPATIAL ALLOCATION OF PRODUCTIVE ACTIVITIES AND COMMODITY FLOWS. FORMULATING THE SET OF EQUATIONS AS A FIXED-POINT PROBLEM ILLUMINATES THESE TWO KEY PROPERTIES, AND PROVIDES A GENERAL SOLUTION ALGORITHM. SEVERAL NUMERICAL EXAMPLES ILLUSTRATE THE SOLUTION UNIQUENESS AND ALGORITHM CONVERGENCE. THESE RESULTS ARE VALUABLE FOR EFFICIENT APPLICATION OF SUCH MODELS TO LARGE-SCALE PROBLEMS. BY PROVING THAT A UNIQUE SOLUTION DOES EXIST AND OFFERING AN ALGORITHM THAT IS GUARANTEED TO CONVERGE, THIS WORK ADDS VALUABLE SUPPORT TO THE GROWING POPULARITY OF THIS INTEGRATED TRANSPORTATION-LAND USE MODELING FRAMEWORK. (C) 2004 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"35","Land","FERNG JJ", "2009", "ECOL ECON","ISI000272871600015","APPLYING INPUT-OUTPUT ANALYSIS TO SCENARIO ANALYSIS OF ECOLOGICAL FOOTPRINTS","APPLICATION OF INPUT-OUTPUT ANALYSIS TO ECOLOGICAL FOOTPRINTS (EFS) IS SHIFTING FROM AN EX-POST STATIC CALCULATION TOWARD AN EX-ANTE SCENARIO ANALYSIS FOR ENHANCING THE POLICY RELEVANCE OF EF ANALYSIS. THIS CHANGE IN APPLICATION PROMPTS TWO ISSUES REQUIRING CAREFUL EXAMINATION: (1) WHAT IS MEASURED BY LEONTIEF INVERSES OR EXTENDED ENVIRONMENTAL LEONTIEF INVERSES, AND (2) WHETHER A SECTOR'S LAND MULTIPLIER (OR COMPOSITIONS OF LAND MULTIPLIER) CAN APPROPRIATELY REFLECT THE EFFECT OF DELIVERING ONE UNIT OF THE SECTOR'S OUTPUT TO FINAL DEMAND ON THE REQUIRED AREA(S) OF PRODUCTION LANDS USED BY THE SECTOR ITSELF AND BY OTHER PRODUCING SECTORS WHOSE PRODUCTS ARE CONTRIBUTED DIRECTLY AND INDIRECTLY TO ITS PRODUCTION. THE UNDERLYING MESSAGE OF THESE TWO QUESTIONS IS WHETHER THE ASSUMED LINEAR MARGINAL RELATIONSHIP BETWEEN A SECTOR'S OUTPUT AND ITS INTERMEDIATE INPUTS (INPUT-OUTPUT COEFFICIENTS)-A CRITICAL ASSUMPTION MADE BY W. LEONTIEF TO TRANSFORM A TRANSACTIONS TABLE FROM AN ACCOUNTING FRAMEWORK INTO THE INPUT-OUTPUT MODEL-CAN BE EXTENDED TO ASSUME THAT THE MARGINAL RELATIONSHIP BETWEEN A SECTOR'S OUTPUT AND THE AREA OF PRODUCTION LAND IT USES FOR GENERATING OUTPUT IS FIXED (LAND-OUTPUT MARGINAL COEFFICIENT EQUAL TO AVERAGE COEFFICIENT). BY REVIEWING THE LITERATURE ON INPUT-OUTPUT ANALYSIS AND ITS APPLICATION TO ENVIRONMENTAL ISSUES AND BY THEORETICALLY AND EMPIRICALLY EXAMINING THE RELATION BETWEEN SECTOR OUTPUT AND LAND APPROPRIATION, THIS STUDY ADVISES AGAINST THE USE OF LAND MULTIPLIERS OR THEIR COMPOSITIONS IN THE EF SCENARIO ANALYSIS. TO APPLY THE INPUT-OUTPUT MODEL TO EF SCENARIO ANALYSIS FOR ENHANCING POLICY RELEVANCE WITH DUE ATTENTION TO THE RELATIONSHIP BETWEEN SECTOR OUTPUT AND LAND APPROPRIATION, THIS STUDY SUGGESTS A TWO-STAGE EF CALCULATION PROCEDURE. IN THE FIRST STAGE. THE INPUT-OUTPUT APPLICATION ESTIMATES ONLY THE REQUIRED RAW MATERIALS (OR GENERATED POLLUTANTS) FOR MEETING A GIVEN CONSUMPTION PATTERN, WHICH IS THE OBJECTIVE OF ENVIRONMENTAL INPUT-OUTPUT ANALYSIS: IN THE SECOND STAGE, THE ESTIMATED AMOUNT OF RAW MATERIALS OR POLLUTANTS IS CONVERTED INTO LAND/WATER AREA, AND A CHOICE OF CONVERSION METHODS IS SUGGESTED ACCORDING TO THE RESEARCH QUESTIONS AND THE AVAILABILITY OF CONVERSION METHODS AND REQUIRED DATA. (C) 2009 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"38","Land","WILTING HC", "2009", "ECON SYST RES","ISI000275698000006","CARBON AND LAND USE ACCOUNTING FROM A PRODUCER'S AND A CONSUMER'S PERSPECTIVE - AN EMPIRICAL EXAMINATION COVERING THE WORLD","NATIONAL POLICIES FOR REDUCING ENVIRONMENTAL PRESSURES STEMMING FROM EMISSIONS AND THE USE OF NATURAL RESOURCES USUALLY ADOPT A PRODUCER APPROACH, I.E. THE LEGISLATION REFERS TO PRESSURES OCCURRING WITHIN THE TERRITORIAL BOUNDARIES OF A COUNTRY. AN ALTERNATIVE APPROACH TO ENVIRONMENTAL ACCOUNTING IS THE CONSUMER APPROACH, WHICH INCLUDES ENVIRONMENTAL PRESSURES ASSOCIATED WITH IMPORTS FOR DOMESTIC CONSUMPTION, WHEREVER THESE PRESSURES OCCUR. THE CARBON FOOTPRINT, FOR EXAMPLE, IS SUCH AN APPROACH, IN WHICH CO(2) OR GREENHOUSE GAS (GHG) EMISSIONS ARE CONSIDERED FROM A CONSUMER'S PERSPECTIVE. THE CONSUMER APPROACH MAY OFFER NEW WAYS FOR POLICIES TO REDUCE PRESSURES, AND THEREFORE IT WOULD BE INTERESTING TO ADOPT THIS PERSPECTIVE IN NATIONAL ENVIRONMENTAL POLICY-MAKING AND INTERNATIONAL NEGOTIATIONS. TO GAIN INSIGHT INTO THE DIFFERENCES BETWEEN THE APPROACHES, THIS PAPER DISCUSSES THE CONCEPTS OF BOTH, SHOWING THE RESULTS OF AN EMPIRICAL ANALYSIS AND GOING INTO THE APPLICATION OF THE TWO DIFFERENT PERSPECTIVES IN (INTERNATIONAL) ENVIRONMENTAL POLICIES. DUE TO INTERNATIONAL TRADE, THE ENVIRONMENTAL PRESSURES ACCOUNTED FOR IN A PRODUCER'S AND A CONSUMER'S PERSPECTIVE ARE USUALLY NOT THE SAME FOR A COUNTRY. THIS PAPER PRESENTS A WORLDWIDE OVERVIEW, COMPARING THE OUTCOMES FOR THE TWO APPROACHES WITH REGARD TO GHG EMISSIONS AND LAND USE, FOR 12 WORLD REGIONS. FURTHERMORE, FOR GHG EMISSIONS, A QUANTITATIVE COMPARISON WAS MADE BETWEEN 87 COUNTRIES AND REGIONS COVERING THE WORLD. CONSUMPTION-RELATED GHG EMISSIONS AND LAND USE PER CAPITA WERE CALCULATED WITH A FULL MULTI-REGIONAL INPUT-OUTPUT (MRIO) MODEL. MRIO ANALYSIS IS AN ATTRACTIVE METHOD FOR FOOTPRINT ANALYSES IN AN INTERNATIONAL CONTEXT. THE RESEARCH SHOWS THAT, FOR MOST DEVELOPED COUNTRIES, GHG EMISSIONS AND LAND USE ARE HIGHER IN THE CONSUMER APPROACH THAN IN THE PRODUCER APPROACH. FOR MOST DEVELOPING COUNTRIES, THE OPPOSITE IS TRUE. BEFORE APPLYING NATIONAL TARGETS TO THE CONSUMER APPROACH - FOR INSTANCE, IN CLIMATE POLICIES - FURTHER IMPROVEMENTS AND STANDARDISATION OF METHODOLOGY AND DATA WILL BE NECESSARY.",""
"34","Land","IRWIN EG", "2010", "AM J AGR ECON","ISI000276398300011","A CENTURY OF RESEARCH ON RURAL DEVELOPMENT AND REGIONAL ISSUES","RURAL NORTH AMERICA HAS UNDERGONE A MAJOR ECONOMIC TRANSFORMATION OVER THE PAST CENTURY DUE TO LABOR-SAVING TECHNOLOGICAL PROGRESS, REDUCTIONS IN TRANSPORT COSTS, AND RISING HOUSEHOLD INCOMES. THE RESULTS ARE GREATER RURAL ECONOMIC DIVERSITY, SELECTED RURAL POPULATION DECLINE, INCREASED RURAL URBAN INTERDEPENDENCE, EMERGENT EXURBAN AREAS, AND AMENITY-LED RURAL GROWTH. WE SUMMARIZE KEY RESEARCH INSIGHTS AND PROVIDE A SELECTED REVIEW OF THE ECONOMICS LITERATURE OVER THE PAST 100 YEARS WITH A FOCUS ON THIS ECONOMIC TRANSFORMATION OF RURAL PLACES, ITS IMPLICATIONS FOR RURAL COMMUNITIES, AND KEY MODELING INNOVATIONS AND APPLICATIONS. THE MANY IMPORTANT CONTRIBUTIONS BY AGRICULTURAL ECONOMISTS ARE HIGHLIGHTED.",""
"29","Land","RUSSO F", "2012", "J TRANSP GEOGR","ISI000309493500017","A UNIFYING MODELLING FRAMEWORK TO SIMULATE THE SPATIAL ECONOMIC TRANSPORT INTERACTION PROCESS AT URBAN AND NATIONAL SCALES","MUCH EFFORT HAS BEEN EXPENDED IN THE LAST DECADES IN DEVELOPING MODELLING FRAMEWORKS TO SIMULATE THE SO-CALLED SPATIAL ECONOMIC TRANSPORT INTERACTION (SETI) PROCESS. MODELS HAVE BEEN ORIGINATED ACCORDING TO AUTONOMOUS BODIES OF KNOWLEDGE CONNECTED TO THE ANALYSIS AND INTERPRETATION OF EACH REFERENCE SPATIAL SCALE: URBAN AND NATIONAL. HOWEVER, THERE HAVE BEEN FEW EXCHANGES OF KNOWLEDGE FLOWING FROM ONE SCALE TO ANOTHER. THIS PAPER PROPOSES A UNIFYING MODELLING FRAMEWORK ABLE TO CAPTURE THE TWO-WAY RELATIONSHIP BETWEEN SPATIAL ECONOMIC AND TRANSPORT SYSTEMS AT BOTH THE NATIONAL AND URBAN SCALES. FOUR MAIN ELEMENTS ARE PRESENTED: (I) A LITERATURE REVIEW OF SPATIAL ECONOMIC (SE) MODELS AT NATIONAL AND URBAN SCALES; (II) A DESCRIPTION OF THE THEORETICAL EVOLUTION INVOLVING A CLASS OF SE MODELS FROM THE THEORETICAL BACKGROUNDS TO THE CURRENT FORMULATIONS; (III) THE PROPOSITION OF A SETI MODEL WHICH HAS TWO MODELLING COMPONENTS: A TRANSPORT MACRO-MODEL AND A SPATIAL ECONOMIC MACRO-MODEL; (IV) A MODEL SPECIFICATION FOR NATIONAL AND URBAN SCALES. (C) 2012 ELSEVIER LTD. ALL RIGHTS RESERVED.",""
"24","Land","SCHAFFARTZIK A", "2015", "J IND ECOL","ISI000363267800003","TRADING LAND: A REVIEW OF APPROACHES TO ACCOUNTING FOR UPSTREAM LAND REQUIREMENTS OF TRADED PRODUCTS","LAND USE IS RECOGNIZED AS A PERVASIVE DRIVER OF ENVIRONMENTAL IMPACTS, INCLUDING CLIMATE CHANGE AND BIODIVERSITY LOSS. GLOBAL TRADE LEADS TO TELECOUPLING BETWEEN THE LAND USE OF PRODUCTION AND THE CONSUMPTION OF BIOMASS-BASED GOODS AND SERVICES. TELECOUPLING IS CAPTURED BY ACCOUNTS OF THE UPSTREAM LAND REQUIREMENTS ASSOCIATED WITH TRADED PRODUCTS, ALSO COMMONLY REFERRED TO AS LAND FOOTPRINTS. THESE ACCOUNTS FACE CHALLENGES IN TWO MAIN AREAS: (1) THE ALLOCATION OF LAND TO PRODUCTS TRADED AND CONSUMED AND (2) THE METRICS TO ACCOUNT FOR DIFFERENCES IN LAND QUALITY AND LAND-USE INTENSITY. FOR TWO MAIN FAMILIES OF ACCOUNTING APPROACHES (BIOPHYSICAL, FACTOR-BASED AND ENVIRONMENTALLY EXTENDED INPUT-OUTPUT ANALYSIS), THIS REVIEW DISCUSSES CONCEPTUAL DIFFERENCES AND COMPARES RESULTS FOR LAND FOOTPRINTS. BIOPHYSICAL APPROACHES ARE ABLE TO CAPTURE A LARGE NUMBER OF PRODUCTS AND DIFFERENT LAND USES, BUT SUFFER FROM A TRUNCATION PROBLEM. ECONOMIC APPROACHES SOLVE THE TRUNCATION PROBLEM, BUT ARE HAMPERED BY THE LIMITED DISAGGREGATION OF SECTORS AND PRODUCTS. IN LIGHT OF THE CONCEPTUAL DIFFERENCES, THE OVERALL SIMILARITY OF RESULTS GENERATED BY BOTH TYPES OF APPROACHES IS REMARKABLE. DIAMETRICALLY OPPOSED RESULTS FOR SOME OF THE WORLD'S LARGEST PRODUCERS AND CONSUMERS OF BIOMASS-BASED PRODUCTS, HOWEVER, MAKE INTERPRETATION DIFFICULT. THIS REVIEW AIMS TO PROVIDE CLARITY ON SOME OF THE UNDERLYING CONCEPTUAL ISSUES OF ACCOUNTING FOR LAND FOOTPRINTS.",""
"26","Land","BRUCKNER M", "2015", "ECOL ECON","ISI000355026400002","MEASURING TELECOUPLINGS IN THE GLOBAL LAND SYSTEM: A REVIEW AND COMPARATIVE EVALUATION OF LAND FOOTPRINT ACCOUNTING METHODS","IN AN INCREASINGLY GLOBALIZED WORLD WITH MORE AND MORE DISTRIBUTED INTERNATIONAL SUPPLY CHAINS, SUSTAINABILITY STUDIES AND POLICIES NEED TO CONSIDER SOCIOECONOMIC AND ENVIRONMENTAL INTERACTIONS BETWEEN DISTANT PLACES. STUDIES OF THE GLOBAL BIOMASS METABOLISM INVESTIGATE PHYSICAL FLOWS BETWEEN AND WITHIN NATURE AND HUMAN SYSTEMS, THUS PROVIDING A USEFUL BASIS FOR UNDERSTANDING THE INTERRELATEDNESS OF CHANGES IN ONE PLACE WITH IMPACTS ELSEWHERE. VARIOUS METHODOLOGICAL APPROACHES EXIST FOR STUDYING THE HUMAN-NATURE METABOLISM AND ESTIMATING THE LAND EMBODIED IN INTERNATIONAL TRADE FLOWS, A CORE ELEMENT OF ASSESSING TELECOUPLINGS IN THE GLOBAL LAND SYSTEM. THE RESULTS OF RECENT STUDIES VARY WIDELY, LACKING ROBUSTNESS AND THUS HAMPERING THEIR APPLICATION IN POLICY MAKING. THIS ARTICLE PROVIDES A STRUCTURED OVERVIEW AND COMPARATIVE EVALUATION OF EXISTING ACCOUNTING METHODS AND MODELS FOR CALCULATING LAND FOOTPRINTS. WE IDENTIFY DIFFERENCES IN AVAILABLE ACCOUNTING METHODS AND INDICATE THEIR SHORTCOMINGS, WHICH ARE MAINLY ATTRIBUTABLE TO THE PRODUCT AND SUPPLY CHAIN COVERAGE AND DETAIL, AND BIASES INTRODUCED BY THE USE OF MONETARY FLOWS AS A PROXY FOR ACTUAL PHYSICAL FLOWS. WE SUGGEST OPTIONS FOR FURTHER DEVELOPMENT OF GLOBAL LAND FOOTPRINT ACCOUNTING METHODS, PARTICULARLY HIGHLIGHTING THE ADVANTAGES OF HYBRID ACCOUNTING APPROACHES AS A FRAMEWORK FOR ROBUST AND TRANSPARENT ASSESSMENTS OF THE GLOBAL DISPLACEMENT OF LAND USE. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",""
"28","Land","GUO S", "2015", "ENVIRON SCI TECHNOL","ISI000347589300046","MULTIREGIONAL INPUT-OUTPUT MODEL FOR CHINA'S FARM LAND AND WATER USE","LAND AND WATER ARE THE TWO MAIN DRIVERS OF AGRICULTURAL PRODUCTION. PRESSURE ON FARM LAND AND WATER RESOURCES IS INCREASING IN CHINA DUE TO RISING FOOD DEMAND. DOMESTIC TRADE AFFECTS CHINA'S REGIONAL FARM LAND AND WATER USE BY DISTRIBUTING RESOURCES ASSOCIATED WITH THE PRODUCTION OF GOODS AND SERVICES. THIS STUDY CONSTRUCTS A MULTIREGIONAL INPUT-OUTPUT MODEL TO SIMULTANEOUSLY ANALYZE CHINA'S FARM LAND AND WATER USES EMBODIED IN CONSUMPTION AND INTERREGIONAL TRADE. RESULTS SHOW A GREAT SIMILARITY FOR BOTH CHINA'S FARM LAND AND WATER ENDOWMENTS. SHANDONG, HENAN, GUANGDONG, AND YUNNAN ARE THE MOST IMPORTANT DRIVERS OF FARM LAND AND WATER CONSUMPTION IN CHINA, EVEN THOUGH THEY HAVE RELATIVELY FEW LAND AND WATER RESOURCE ENDOWMENTS. SIGNIFICANT NET TRANSFERS OF EMBODIED FARM LAND AND WATER FLOWS ARE IDENTIFIED FROM THE CENTRAL AND WESTERN AREAS TO THE EASTERN AREA VIA INTERREGIONAL TRADE. HEILONGJIANG IS THE LARGEST FARM LAND AND WATER SUPPLIER, IN CONTRAST TO SHANGHAI AS THE LARGEST RECEIVER. THE RESULTS HELP POLICY MAKERS TO COMPREHENSIVELY UNDERSTAND EMBODIED FARM LAND AND WATER FLOWS IN A COMPLEX ECONOMY NETWORK. IMPROVING RESOURCE UTILIZATION EFFICIENCY AND RESHAPING THE EMBODIED RESOURCE TRADE NEXUS SHOULD BE ADDRESSED BY CONSIDERING THE TRANSFER OF REGIONAL RESPONSIBILITIES.",""
